,고객ID,고객유형,거주지,시,구군,남여구분,판매유형,계약유형,유통경로,계약일,계약기간,납부유형,제품군,월랜탈비용,계약상태,연체건수,연체여부,결제은행,해약여부,계정수
1767,25853948,사업자,전라도,광주광역시, 동구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,광주은행,정상,1
1768,25739420,사업자,경상도,대구광역시, 동구,여자,렌탈,일반,렌탈총판,11-19-2014,60,카드이체,DES-1,96900,계약확정,0,없음,롯데카드,정상,1
1769,25740376,사업자,경상도,부산광역시, 동래구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,부산은행,정상,1
1770,25740365,사업자,서울특별시,서울특별시, 동작구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,124200,계약확정,0,없음,농협중앙회,정상,1
1771,25740378,사업자,전라도,전라도, 목포시,여자,렌탈,프로모션,렌탈총판,11-19-2014,60,CMS,DES-1,105900,계약확정,0,없음,광주은행,정상,1
1772,25693390,사업자,경기도,인천광역시, 서구,여자,렌탈,프로모션,영업방판,11-19-2014,60,CMS,DES-1,124200,계약확정,0,없음,신한은행,정상,1
1773,25854934,사업자,경기도,인천광역시, 서구,여자,렌탈,교체렌탈,서비스 방문,11-19-2014,60,가상계좌,DES-1,96900,계약확정,0,없음,기업은행,정상,1
1774,25740363,사업자,경기도,인천광역시, 서구,여자,렌탈,일반,영업방판,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
1775,25733837,사업자,서울특별시,서울특별시, 서대문구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
1776,25751093,사업자,서울특별시,서울특별시, 서초구,여자,멤버십,멤버십S,렌탈재계약,11-19-2014,12,CMS,DES-1,66900,계약확정,0,없음,신한은행,정상,1
1777,25740341,사업자,경기도,경기도, 성남시 수정구,여자,렌탈,일반,렌탈총판,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,새마을금고,정상,1
1778,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,14
1779,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,14
1780,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,14
1781,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,일반,서비스 방문,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,기업은행,정상,14
1782,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-15-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1783,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-15-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1784,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-15-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1785,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-15-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1786,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-15-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1787,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-16-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1788,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-16-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1789,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-16-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1790,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-16-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1791,25727901,사업자,경기도,경기도, 수원시 권선구,여자,렌탈,단체,서비스 방문,12-16-2014,60,CMS,DES-2,85350,계약확정,0,없음,기업은행,정상,14
1792,25740384,사업자,경기도,경기도, 수원시 팔달구,여자,렌탈,프로모션,영업방판,11-19-2014,60,CMS,DES-1,142200,계약확정,0,없음,하나은행,정상,1
1793,25749142,사업자,전라도,전라도, 순천시,여자,렌탈,일반,R빌리미,11-19-2014,60,CMS,DES-1,96900,계약확정,0,없음,국민은행,정상,1
1794,25740359,사업자,경기도,경기도, 시흥시,여자,렌탈,프로모션,영업방판,11-19-2014,60,CMS,DES-1,124200,계약확정,0,없음,농협중앙회,정상,1
